Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
22999,IN-2012-44810,2/25/2012,2/25/2012,Same Day,BP-11230,Benjamin Patterson,Consumer,Surat,Gujarat,Australia,,APAC,Oceania,FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",1878.72,4,0,582.36,704.08,Critical
15812,ES-2012-4934238,2/2/2012,2/5/2012,First Class,JH-15820,John Huston,Consumer,Hamburg,Hamburg,United States,,EU,Central,TEC-PH-10000800,Technology,Phones,"Cisco Smart Phone, Full Size",3263.4,5,0,848.4,469.29,High
21500,IN-2012-79439,2/4/2012,2/8/2012,Second Class,EM-13810,Eleni McCrary,Corporate,Dehra Dun,Uttarakhand,Australia,,APAC,Oceania,FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",3076.5,7,0,215.25,359.27,Medium
20145,ES-2012-1439357,2/23/2012,2/26/2012,First Class,BD-11560,Brendan Dodson,Home Office,Cambridge,England,India,,EU,Central Asia,FUR-CH-10000685,Furniture,Chairs,"Hon Executive Leather Armchair, Black",2285.7,5,0,845.7,355.06,High
29555,IN-2012-72964,2/6/2012,2/9/2012,First Class,JC-15775,John Castell,Consumer,Bundaberg,Queensland,India,,APAC,Central Asia,FUR-CH-10000660,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",819.936,2,0.1,191.316,320.92,Critical
22711,IN-2012-27583,2/24/2012,2/29/2012,Standard Class,DL-13330,Denise Leinenbach,Consumer,Nagpur,Maharashtra,India,,APAC,Central Asia,TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size",3187.2,5,0,541.8,289.17,Medium
15811,ES-2012-4934238,2/2/2012,2/5/2012,First Class,JH-15820,John Huston,Consumer,Hamburg,Hamburg,Australia,,EU,Oceania,TEC-PH-10004910,Technology,Phones,"Samsung Signal Booster, Full Size",965.16,7,0,463.26,253.09,High
20954,IN-2012-21206,2/6/2012,2/11/2012,Standard Class,SC-20800,Stuart Calhoun,Consumer,Bhilai,Chhattisgarh,China,,APAC,North Asia,FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1236.33,3,0,519.21,207.44,High
14655,ES-2012-5808020,2/14/2012,2/19/2012,Second Class,ND-18370,Natalie DeCherney,Consumer,London,England,Mexico,,EU,North,FUR-BO-10004660,Furniture,Bookcases,"Sauder Library with Doors, Metal",1393.524,4,0.1,356.004,181.95,High
49674,UP-2012-8420,2/21/2012,2/23/2012,First Class,AH-30,Aaron Hawkins,Corporate,Kryvyy Rih,Dnipropetrovs'k,Philippines,,EMEA,Southeast Asia,FUR-HON-10001504,Furniture,Chairs,"Hon Rocking Chair, Black",1025.52,8,0,389.52,172.16,Critical
18705,ES-2012-5053352,2/8/2012,2/8/2012,Same Day,JM-15865,John Murray,Consumer,Givors,Rhône-Alpes,Australia,,EU,Oceania,TEC-PH-10001708,Technology,Phones,"Cisco Audio Dock, with Caller ID",464.2785,3,0.15,38.2185,158.88,Critical
19354,ES-2012-2694947,2/2/2012,2/6/2012,Standard Class,JF-15565,Jill Fjeld,Consumer,Munich,Bavaria,United States,,EU,East,TEC-AC-10003415,Technology,Accessories,"SanDisk Router, Erganomic",1779.12,7,0,711.48,157.69,High
14653,ES-2012-5808020,2/14/2012,2/19/2012,Second Class,ND-18370,Natalie DeCherney,Consumer,London,England,Vietnam,,EU,Southeast Asia,TEC-CO-10001628,Technology,Copiers,"Sharp Personal Copier, Digital",861.408,8,0.1,382.848,147.45,High
18706,ES-2012-5053352,2/8/2012,2/8/2012,Same Day,JM-15865,John Murray,Consumer,Givors,Rhône-Alpes,Guatemala,,EU,Central,FUR-FU-10002979,Furniture,Furnishings,"Eldon Frame, Black",465,4,0,130.2,139.08,Critical
20955,IN-2012-21206,2/6/2012,2/11/2012,Standard Class,SC-20800,Stuart Calhoun,Consumer,Bhilai,Chhattisgarh,United States,,APAC,East,FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",2737.98,7,0,301.14,136.46,High
11501,ES-2012-4306010,2/23/2012,2/25/2012,First Class,PB-19210,Phillip Breyer,Corporate,Coventry,England,Egypt,,EU,Africa,TEC-AC-10000007,Technology,Accessories,"SanDisk Router, USB",513.12,2,0,215.46,133.01,High
34006,CA-2012-121797,1/30/2012,2/6/2012,Standard Class,CC-12145,Charles Crestani,Consumer,Los Angeles,California,Mexico,90049,US,North,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,1919.976,3,0.2,215.9973,130.61,Medium
30385,ID-2012-82610,2/13/2012,2/13/2012,Same Day,JL-15850,John Lucas,Consumer,Auckland,Auckland,China,,APAC,North Asia,FUR-BO-10001558,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",612.684,6,0.4,-296.136,117.25,Critical
23980,IN-2012-47750,2/15/2012,2/18/2012,First Class,NG-18430,Nathan Gelder,Consumer,Chennai,Tamil Nadu,India,,APAC,Central Asia,TEC-PH-10001921,Technology,Phones,"Nokia Signal Booster, with Caller ID",546,4,0,60,117.24,Critical
4375,MX-2012-124401,2/8/2012,2/10/2012,Second Class,SB-20185,Sarah Brown,Consumer,Managua,Managua,United Kingdom,,LATAM,North,TEC-CO-10000043,Technology,Copiers,"Brother Fax Machine, Laser",635.80584,3,0.002,62.38584,111.479,High
49660,TU-2012-8730,2/22/2012,2/28/2012,Standard Class,TA-11385,Tom Ashbrook,Home Office,Silivri,Istanbul,Brazil,,EMEA,South,FUR-OFF-10001132,Furniture,Chairs,"Office Star Swivel Stool, Adjustable",988.008,14,0.6,-1235.052,107.91,Low
9595,MX-2012-140767,2/18/2012,2/22/2012,Standard Class,RB-19795,Ross Baird,Home Office,Valinhos,São Paulo,China,,LATAM,North Asia,OFF-ST-10004381,Office Supplies,Storage,"Smead Lockers, Industrial",795.6,6,0,190.92,99.623,Medium
39424,CA-2012-137064,2/6/2012,2/13/2012,Standard Class,TS-21655,Trudy Schmidt,Consumer,Houston,Texas,Russia,77070,US,EMEA,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",670.752,3,0.2,-125.766,98.65,Low
12012,ES-2012-1606540,2/9/2012,2/13/2012,Standard Class,PP-18955,Paul Prost,Home Office,Castres,Midi-Pyrénées,El Salvador,,EU,Central,TEC-CO-10004154,Technology,Copiers,"Canon Copy Machine, Digital",667.539,3,0.15,-31.491,97.68,High
1398,MX-2012-105648,2/15/2012,2/17/2012,First Class,MG-18145,Mike Gockenbach,Consumer,Arica,Arica y Parinacota,China,,LATAM,North Asia,TEC-AC-10001705,Technology,Accessories,"Logitech Keyboard, Bluetooth",338.1,7,0,84.42,97.479,Critical
12655,ES-2012-5954014,2/7/2012,2/11/2012,Standard Class,AJ-10960,Astrea Jones,Consumer,Paris,Ile-de-France,Nicaragua,,EU,Central,FUR-FU-10002919,Furniture,Furnishings,"Rubbermaid Frame, Erganomic",651.06,6,0,240.84,96.05,High
18517,ES-2012-3438393,2/18/2012,2/22/2012,Standard Class,FO-14305,Frank Olsen,Consumer,Nice,Provence-Alpes-Côte d'Azur,Indonesia,,EU,Southeast Asia,TEC-AC-10000422,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",579.6,10,0,179.4,92.94,High
38577,CA-2012-162782,2/21/2012,2/27/2012,Standard Class,PW-19240,Pierre Wener,Consumer,Columbia,Maryland,Spain,21044,US,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2541.98,2,0,1270.99,91.36,Medium
21252,IN-2012-63080,2/2/2012,2/8/2012,Standard Class,SV-20365,Seth Vernon,Consumer,Hefei,Anhui,Haiti,,APAC,Caribbean,TEC-PH-10004680,Technology,Phones,"Samsung Speaker Phone, with Caller ID",1109.16,9,0,498.96,90.41,Medium
36237,CA-2012-156482,2/6/2012,2/13/2012,Standard Class,IL-15100,Ivan Liston,Consumer,Wilmington,Delaware,Mexico,19805,US,North,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1268.82,9,0,266.4522,89.3,Low
22563,IN-2012-72040,2/10/2012,2/13/2012,First Class,MA-17995,Michelle Arnett,Home Office,Medan,Sumatera Utara,France,,APAC,Central,FUR-CH-10002940,Furniture,Chairs,"Harbour Creations Chairmat, Black",406.2888,8,0.27,-89.0712,86.67,Medium
18704,ES-2012-5053352,2/8/2012,2/8/2012,Same Day,JM-15865,John Murray,Consumer,Givors,Rhône-Alpes,Iraq,,EU,EMEA,OFF-SU-10003556,Office Supplies,Supplies,"Fiskars Trimmer, Easy Grip",263.52,6,0,97.38,79.56,Critical
23981,IN-2012-47750,2/15/2012,2/18/2012,First Class,NG-18430,Nathan Gelder,Consumer,Chennai,Tamil Nadu,United States,,APAC,West,FUR-CH-10001397,Furniture,Chairs,"SAFCO Chairmat, Set of Two",248.28,4,0,86.88,78.13,Critical
28863,IN-2012-47813,2/18/2012,2/22/2012,Standard Class,ME-18010,Michelle Ellison,Corporate,Yantai,Shandong,Germany,,APAC,Central,FUR-CH-10002573,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",930,2,0,158.1,78.06,Medium
21253,IN-2012-63080,2/2/2012,2/8/2012,Standard Class,SV-20365,Seth Vernon,Consumer,Hefei,Anhui,Italy,,APAC,South,OFF-ST-10003150,Office Supplies,Storage,"Smead Lockers, Wire Frame",1184.94,6,0,130.32,77.19,Medium
1935,MX-2012-165491,2/4/2012,2/8/2012,Second Class,CC-12100,Chad Cunningham,Home Office,Guasave,Sinaloa,United Kingdom,,LATAM,North,TEC-CO-10003784,Technology,Copiers,"HP Fax Machine, Laser",598.68024,3,0.002,196.74024,75.252,Medium
34759,CA-2012-152611,2/20/2012,2/23/2012,Second Class,KA-16525,Kelly Andreada,Consumer,Perth Amboy,New Jersey,India,8861,US,Central Asia,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,286.79,7,0,74.5654,73.1,Critical
6474,US-2012-144267,2/6/2012,2/8/2012,First Class,JK-15370,Jay Kimmel,Consumer,Caracas,Distrito Capital,Italy,,LATAM,South,OFF-AP-10003945,Office Supplies,Appliances,"Breville Toaster, Silver",216.888,7,0.4,-3.752,72.427,Critical
22561,IN-2012-72040,2/10/2012,2/13/2012,First Class,MA-17995,Michelle Arnett,Home Office,Medan,Sumatera Utara,China,,APAC,North Asia,TEC-MA-10000429,Technology,Machines,"Konica Card Printer, Red",1144.2048,8,0.17,206.7648,68.89,Medium
23088,ID-2012-58495,2/2/2012,2/8/2012,Standard Class,DE-13255,Deanra Eno,Home Office,Perth,Western Australia,Panama,,APAC,Central,FUR-TA-10004653,Furniture,Tables,"Chromcraft Training Table, Rectangular",985.11,5,0.3,-225.24,68.3,Medium
21707,IN-2012-73930,2/7/2012,2/12/2012,Standard Class,CD-12280,Christina DeMoss,Consumer,Amritsar,Punjab,Thailand,,APAC,Southeast Asia,TEC-CO-10003113,Technology,Copiers,"Hewlett Fax Machine, Color",1285.44,4,0,89.88,68.29,Medium
11502,ES-2012-4306010,2/23/2012,2/25/2012,First Class,PB-19210,Phillip Breyer,Corporate,Coventry,England,Nigeria,,EU,Africa,TEC-AC-10001089,Technology,Accessories,"Enermax Keyboard, Erganomic",487.62,6,0,243.72,67.87,High
33085,CA-2012-154326,2/15/2012,2/19/2012,Standard Class,RP-19855,Roy Phan,Corporate,Kenosha,Wisconsin,India,53142,US,Central Asia,TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),699.98,2,0,195.9944,66.38,Medium
20736,IN-2012-76583,2/17/2012,2/21/2012,Standard Class,EH-14005,Erica Hernandez,Home Office,Canberra,Australian Capital Territory,Mexico,,APAC,North,TEC-AC-10000221,Technology,Accessories,"Belkin Memory Card, Programmable",418.716,6,0.4,-132.624,64.22,High
17747,ES-2012-1674960,2/7/2012,2/11/2012,Standard Class,TC-20980,Tamara Chand,Corporate,Graz,Styria,Germany,,EU,Central,FUR-FU-10002919,Furniture,Furnishings,"Rubbermaid Frame, Erganomic",434.04,4,0,160.56,63.08,High
45542,QA-2012-1070,2/20/2012,2/24/2012,Standard Class,TC-10980,Tamara Chand,Corporate,Doha,Ad Dawhah,India,,EMEA,Central Asia,FUR-OFF-10003713,Furniture,Chairs,"Office Star Chairmat, Adjustable",546.48,8,0,213.12,61.5,Medium
11325,ES-2012-4445402,2/2/2012,2/6/2012,Standard Class,JB-16000,Joy Bell-,Consumer,Saint-Priest,Rhône-Alpes,United States,,EU,Central,OFF-AR-10000727,Office Supplies,Art,"Stanley Canvas, Easy-Erase",298.44,6,0,71.46,60.3,High
30136,ID-2012-77080,2/13/2012,2/17/2012,Standard Class,AF-10870,Art Ferguson,Consumer,Sydney,New South Wales,Spain,,APAC,South,FUR-FU-10000339,Furniture,Furnishings,"Tenex Frame, Black",593.892,6,0.1,-39.708,59.45,High
50312,RS-2012-3560,2/13/2012,2/19/2012,Standard Class,BP-1050,Barry Pond,Corporate,Chelyabinsk,Chelyabinsk,United Kingdom,,EMEA,North,TEC-MOT-10000939,Technology,Phones,"Motorola Speaker Phone, Cordless",530.52,4,0,26.52,59.42,Medium
6156,MX-2012-145065,2/21/2012,2/24/2012,First Class,JK-15730,Joe Kamberova,Consumer,Sancti Spíritus,Sancti Spíritus,France,,LATAM,Central,TEC-AC-10004975,Technology,Accessories,"SanDisk Numeric Keypad, Erganomic",265.3,7,0,39.76,58.232,Medium
30138,IN-2012-15039,2/7/2012,2/10/2012,First Class,CC-12430,Chuck Clark,Home Office,Brisbane,Queensland,Saudi Arabia,,APAC,EMEA,TEC-PH-10003613,Technology,Phones,"Apple Signal Booster, VoIP",492.264,4,0.1,54.624,57.5,Critical
2487,MX-2012-131863,2/14/2012,2/21/2012,Standard Class,TS-21610,Troy Staebel,Consumer,Juárez,Chihuahua,Singapore,,LATAM,Southeast Asia,TEC-PH-10003011,Technology,Phones,"Cisco Audio Dock, Full Size",733.44,6,0,227.28,56.503,Medium
38982,CA-2012-116876,2/14/2012,2/21/2012,Standard Class,TT-21070,Ted Trevino,Consumer,Rochester,New York,United States,14609,US,West,TEC-PH-10002584,Technology,Phones,Samsung Galaxy S4,625.99,1,0,187.797,56.18,Low
7090,US-2012-110576,2/16/2012,2/18/2012,First Class,DO-13645,Doug O'Connell,Consumer,Culiacán,Sinaloa,China,,LATAM,North Asia,FUR-CH-10003392,Furniture,Chairs,"Novimex Steel Folding Chair, Red",131.568,3,0.2,-32.892,55.248,Critical
29648,IN-2012-37054,2/15/2012,2/18/2012,First Class,PK-18910,Paul Knutson,Home Office,Medan,Sumatera Utara,India,,APAC,Central Asia,TEC-CO-10002316,Technology,Copiers,"Brother Personal Copier, Laser",398.6631,3,0.07,77.0931,53.66,Medium
9593,MX-2012-140767,2/18/2012,2/22/2012,Standard Class,RB-19795,Ross Baird,Home Office,Valinhos,São Paulo,United States,,LATAM,East,TEC-AC-10000376,Technology,Accessories,"Memorex Router, Bluetooth",820.7,5,0,352.9,52.514,Medium
21896,ID-2012-71858,2/1/2012,2/7/2012,Standard Class,CP-12085,Cathy Prescott,Corporate,Jakarta,Jakarta,France,,APAC,Central,TEC-PH-10003784,Technology,Phones,"Motorola Signal Booster, with Caller ID",593.9895,5,0.17,-71.7105,52.22,Medium
22525,IN-2012-55737,2/10/2012,2/14/2012,Standard Class,MY-18295,Muhammed Yedwab,Corporate,Wuxi,Hunan,France,,APAC,Central,TEC-AC-10002243,Technology,Accessories,"SanDisk Keyboard, Programmable",414.9,5,0,124.35,48.74,High
50314,RS-2012-3560,2/13/2012,2/19/2012,Standard Class,BP-1050,Barry Pond,Corporate,Chelyabinsk,Chelyabinsk,United Kingdom,,EMEA,North,FUR-BAR-10003532,Furniture,Tables,"Barricks Conference Table, Rectangular",904.65,1,0,289.47,45.92,Medium
12589,ES-2012-3054287,1/28/2012,2/1/2012,Standard Class,GZ-14470,Gary Zandusky,Consumer,Heilbronn,Baden-Württemberg,Cote d'Ivoire,,EU,Africa,OFF-AP-10003298,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Black",377.46,6,0.1,129.96,45.74,Medium
32105,CA-2012-140921,2/3/2012,2/5/2012,First Class,AA-10375,Allen Armold,Consumer,Omaha,Nebraska,Colombia,68104,US,South,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,149.97,3,0,50.9898,45.16,Critical
22524,IN-2012-55737,2/10/2012,2/14/2012,Standard Class,MY-18295,Muhammed Yedwab,Corporate,Wuxi,Hunan,United Kingdom,,APAC,North,TEC-MA-10000768,Technology,Machines,"Epson Card Printer, White",505.08,3,0,15.12,44.29,High
12976,ES-2012-4014694,1/30/2012,2/4/2012,Second Class,DB-13360,Dennis Bolton,Home Office,Corbeil-Essonnes,Ile-de-France,Australia,,EU,Oceania,OFF-AR-10000727,Office Supplies,Art,"Stanley Canvas, Easy-Erase",248.7,5,0,59.55,43.8,High
33547,CA-2012-116092,2/15/2012,2/18/2012,Second Class,JM-16195,Justin MacKendrick,Consumer,Los Angeles,California,Madagascar,90004,US,Africa,OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,541.44,6,0,157.0176,43.71,Medium
45257,JO-2012-9420,1/29/2012,2/2/2012,Standard Class,RH-9510,Rick Huthwaite,Home Office,Amman,'Amman,Colombia,,EMEA,South,FUR-SAU-10000893,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",587.28,4,0,170.28,43.51,Medium
16130,IT-2012-5199936,1/27/2012,2/2/2012,Standard Class,GA-14515,George Ashbrook,Consumer,Zurich,Zürich,Dominican Republic,,EU,Caribbean,OFF-AR-10000475,Office Supplies,Art,"Sanford Canvas, Blue",303.12,6,0,87.84,43.16,Low
11323,ES-2012-4445402,2/2/2012,2/6/2012,Standard Class,JB-16000,Joy Bell-,Consumer,Saint-Priest,Rhône-Alpes,Australia,,EU,Oceania,FUR-BO-10004585,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",256.392,2,0.1,99.672,42.97,High
51273,TU-2012-1600,2/15/2012,2/19/2012,Standard Class,AH-195,Alan Haines,Corporate,Izmir,Izmir,Iran,,EMEA,EMEA,TEC-HEW-10004522,Technology,Copiers,"Hewlett Copy Machine, Color",636.264,6,0.6,-413.676,41.74,Medium
26156,ID-2012-34891,2/17/2012,2/21/2012,Standard Class,SE-20110,Sanjit Engle,Consumer,Singapore,Singapore,United States,,APAC,West,TEC-AC-10003217,Technology,Accessories,"Enermax Keyboard, USB",502.02,6,0,125.46,41.6,High
18516,ES-2012-3438393,2/18/2012,2/22/2012,Standard Class,FO-14305,Frank Olsen,Consumer,Nice,Provence-Alpes-Côte d'Azur,South Africa,,EU,Africa,FUR-BO-10004947,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",405.891,3,0.1,117.171,39.75,High
6982,MX-2012-102890,2/18/2012,2/20/2012,First Class,SP-20620,Stefania Perrino,Corporate,São Paulo,São Paulo,France,,LATAM,Central,FUR-CH-10004194,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",333.8,5,0,156.8,38.998,High
5222,MX-2012-122406,2/13/2012,2/18/2012,Second Class,AG-10270,Alejandro Grove,Consumer,Porto Alegre,Rio Grande do Sul,Turkey,,LATAM,EMEA,FUR-FU-10004019,Furniture,Furnishings,"Rubbermaid Door Stop, Erganomic",254.52,9,0,114.48,38.589,High
4409,MX-2012-168753,2/3/2012,2/7/2012,Standard Class,PK-19075,Pete Kriz,Consumer,Soyapango,San Salvador,Brazil,,LATAM,South,OFF-AR-10001192,Office Supplies,Art,"Binney & Smith Canvas, Fluorescent",245.56,7,0,88.34,37.949,High
